0	7026
4	4388
5	4582
10	18464
11	6431
12	14667
13	17303
15	14433
22	1317
25	9422
26	18188
28	19773
33	12202
36	5328
37	3202
39	8722
47	14206
56	856
58	15151
64	12309
65	4726
71	7431
75	10698
79	6965
82	1186
90	8751
92	11315
94	18706
95	16650
102	12664
104	14152
119	13638
122	11664
135	8399
136	8736
138	18227
156	1356
168	2552
177	1210
180	11147
190	19733
195	11424
197	4844
211	3655
212	1139
222	6865
224	19507
225	2680
231	12163
236	7174
240	11127
246	11919
250	12755
251	11590
256	9988
262	19037
266	9071
271	15294
272	278
275	6291
280	445
281	238
282	4959
290	1455
305	4948
307	271
311	18546
313	13563
316	16340
328	6361
330	6457
336	10366
337	12543
346	1786
348	3394
351	6407
353	12983
356	4872
363	7386
364	7927
372	11823
375	7610
376	14581
378	3601
379	2393
382	11751
383	5006
387	724
389	17184
390	13700
401	18286
409	2183
410	10861
413	17388
416	15545
417	2200
418	13730
426	17267
427	689
432	9170
439	951
442	3801
444	7054
454	16981
462	16990
463	13585
467	11075
469	3485
470	3852
482	18346
487	19692
489	19083
499	13382
500	2039
502	3995
505	17375
506	16678
508	19312
516	5043
518	6353
526	17930
528	6254
532	12619
535	512
538	2733
546	12040
553	17732
559	8611
566	11037
572	3347
575	8245
576	8009
580	11668
586	344
592	17053
597	2065
599	15234
602	1755
607	6776
610	3471
618	5207
623	764
625	1333
635	14172
642	13536
651	6463
655	10693
656	10762
669	19203
700	1444
701	18029
703	13888
705	9914
714	6479
727	8849
729	16108
730	1290
732	5394
733	19160
734	11146
736	18014
737	5999
738	2479
740	15770
741	15872
747	382
748	12715
751	6147
754	13294
755	17497
758	6356
760	4336
761	14354
765	11950
768	8403
781	15844
782	1439
788	8924
792	760
802	13422
803	12044
805	3185
807	16541
809	18028
810	10845
816	6904
821	10295
827	7574
828	15704
830	7854
831	9635
832	14684
833	15070
835	1311
849	5440
851	8518
853	12479
855	14604
858	4251
862	3930
864	4873
867	7925
883	19534
884	5410
892	18136
893	3305
908	9146
910	6569
915	13632
924	7655
930	2281
937	1799
940	8871
941	10465
950	7831
951	13167
961	16581
962	2686
966	3646
967	6453
973	19003
979	8653
987	3254
